'Nombre: CHEMILABS; Código: 12345678; Fecha: 04/12/2019 14:10:41; Canales: 19
#HHMM;1,PM10,µg/m³;2,PM2.5,µg/m³;3,TSP,µg/m³;4,SO2,ppb;5,O3,ppb;6,CO,ppm;7,NO,ppb;8,NO2,ppb;9,NOX,ppb;10,DV,grados;11,VV,m/s;12,HR,% H.R.;13,TEMP,°C;14,PB,mb;15,RS,W/m²;18,RAIN,mm;16,Humedad Int,% H.R.;17,Temperatura Int,°C;19,Estado Puerta,No definida;
0520 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0530 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0540 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0550 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0600 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0610 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0620 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0630 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0640 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0650 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0700 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0710 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0720 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0730 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0740 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0750 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0800 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0810 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0820 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
